|a_torre_de_papel|machina|
|linguafiada|joco|
|livro_vivo|anima|
|quase_que_eu_Poesia|anima|
|um_romance|anima|
|Amaré|persona|
|Amores|persona|
|Astros|esoteric|
|Atido|anima|
|Avevida|anima|
|Biaba|author|
|Brado|joco|
|Bula|joco|
|Buscas|persona|
|Cartaz|joco|
|Ciuminho|beauty|
|Clandestino|anima|
|Clarice|beauty|
|Cordel|joco|
|Cromossomo|joco|
|Cuores|persona|
|Destinos|anima|
|Distintos|anima|
|Dolores|beauty|
|Elogio|anima|
|Enfrente|persona|
|Escriba|anima|
|Essa|anima|
|Estudo|joco|
|Feiras|anima|
|Finalmentes|esoteric|
|Frases|joco|
|Fugaz|anima|
|Gula|joco|
|Haikai|anima|
|Indolor|anima|
|Inhos|anima|
|Isso|persona|
|Joker|joco|
|Lato|author|
|Leituras|author|
|MachBeth|persona|
|MachBrait|anima|
|Manusgrite|beauty|
|Meteoro|joco|
|Mirante|persona|
|Neobrazil|joco|
|Oca|beauty|
|Ocio|joco|
|Oficio|author|
|Oco|anima|
|Ogiva|beauty|
|Olhares|persona|
|Papilio|persona|
|Perfil|beauty|
|Pessoa|anima|
|Prefácil|anima|
|Reger|anima|
|Remedeio|joco|
|Reinos|joco|
|Rever|anima|
|Rito|joco|
|Saudades|persona|
|Ser|anima|
|Seguro|joco|
|Sentença|anima|
|Silente|anima|
|Sinais|anima|
|Sinas|beauty|
|Sonoro|anima|
|Sopros|anima|
|Sos|joco|
|Sua|beauty|
|Tiro|anima|
|Usinas|anima|
|Veio|anima|
|Victor|anima|
|Zelo|persona|
|Zodiacaos|joco|
|Zoia|persona|
|Aquarius=f|esoteric|
|Aquarius=m|esoteric|
|Aries=f|esoteric|
|Aries=m|esoteric|
|Cancer=f|esoteric|
|Cancer=m|esoteric|
|Caprico=f|esoteric|
|Caprico=m|esoteric|
|Escorpio=f|esoteric|
|Escorpio=m|esoteric|
|Gemeos=f|esoteric|
|Gemeos=m|esoteric|
|Leao=f|esoteric|
|Leao=m|esoteric|
|Libra=f|esoteric|
|Libra=m|esoteric|
|Peixes=f|esoteric|
|Peixes=m|esoteric|
|Sagitar=f|esoteric|
|Sagitar=m|esoteric|
|Touro=f|esoteric|
|Touro=m|esoteric|
|Virgem=f|esoteric|
|Virgem=m|esoteric|
